,YEAR,CONF,TEAM NO,TEAM,SEED,ROUND,KADJ O,KADJ D,KADJ EM,BADJ O,BADJ D,BADJ EM,EFG%,EFG%D,FTR,FTRD,TOV%,TOV%D,OREB%,DREB%,OP OREB%,OP DREB%
0,2023,SEC,1011,Alabama,1,16,116.097,88.5549,27.5425,115.4,88.3,27.1,52.7,41.5,36.7,32.8,19.0,15.9,33.8,72.5,27.5,66.2
1,2023,P12,1010,Arizona,2,64,119.979,97.1195,22.8595,119.7,95.4,24.3,56.8,47.2,36.5,26.0,18.4,16.9,31.1,73.8,26.2,68.9
2,2023,P12,1009,Arizona St.,11,64,107.586,95.2101,12.3762,105.8,93.8,12.0,47.5,46.4,30.8,33.4,16.9,20.6,29.6,68.2,31.8,70.4
3,2023,SEC,1008,Arkansas,8,16,112.596,93.9677,18.6287,110.7,92.0,18.7,52.0,46.5,38.8,38.9,18.3,20.4,30.5,71.8,28.2,69.5
4,2023,SEC,1007,Auburn,9,32,112.689,95.2408,17.4484,110.9,93.2,17.7,49.6,45.6,35.5,39.1,18.1,19.3,33.3,68.0,32.0,66.7
5,2023,B12,1006,Baylor,3,32,121.852,101.871,19.9811,120.9,99.5,21.4,53.1,51.4,37.2,31.4,18.1,19.9,34.7,68.9,31.1,65.3
6,2023,MWC,1005,Boise St.,10,64,110.969,93.8352,17.1342,108.2,92.9,15.3,51.9,47.3,30.7,27.4,16.7,17.7,26.4,76.2,23.8,73.6
7,2023,Pat,1004,Colgate,15,64,112.963,107.67,5.29267,111.7,105.8,5.9,58.6,51.9,27.6,20.3,14.9,17.6,24.9,75.9,24.1,75.1
8,2023,CAA,1003,College of Charleston,12,64,111.378,99.6171,11.7607,109.2,97.7,11.5,51.5,47.9,32.7,24.7,16.7,19.3,35.1,74.5,25.5,64.9
9,2023,BE,1002,Connecticut,4,1,119.437,94.0686,25.3686,118.9,92.5,26.4,53.5,45.5,31.4,38.7,18.9,19.4,39.2,73.8,26.2,60.8
10,2023,BE,1001,Creighton,6,8,114.621,93.9665,20.6545,113.8,92.8,21.0,54.3,47.3,28.1,19.8,16.6,14.3,25.5,76.7,23.3,74.5
11,2023,MVC,1000,Drake,12,64,109.84,97.3312,12.5086,107.9,96.1,11.8,53.1,47.3,28.8,26.7,15.5,17.7,24.3,77.6,22.4,75.7
12,2023,ACC,999,Duke,5,32,113.242,94.7531,18.4885,111.9,93.1,18.8,51.1,46.3,30.8,24.1,18.2,16.6,36.2,74.1,25.9,63.8
13,2023,NEC,998,Fairleigh Dickinson,16,32,106.175,118.425,-12.2499,104.6,117.0,-12.4,51.5,55.8,27.9,34.8,16.3,21.4,31.4,71.1,28.9,68.6
14,2023,CUSA,997,Florida Atlantic,9,4,114.275,96.0455,18.2298,112.2,94.8,17.4,55.0,45.9,29.5,26.7,16.7,18.3,30.4,75.5,24.5,69.6
15,2023,SC,996,Furman,13,32,114.2,105.775,8.42507,111.9,104.1,7.8,55.6,50.6,34.7,31.8,15.8,18.4,29.6,72.9,27.1,70.4
16,2023,WCC,995,Gonzaga,3,8,124.004,99.6937,24.3101,122.6,98.6,24.0,58.5,51.7,34.2,26.7,14.6,18.8,31.1,74.0,26.0,68.9
17,2023,WAC,994,Grand Canyon,14,64,112.317,106.325,5.99141,109.8,104.5,5.3,52.9,47.2,37.8,33.2,18.4,15.0,30.5,69.7,30.3,69.5
18,2023,Amer,993,Houston,1,16,118.387,89.5678,28.8196,117.1,88.0,29.1,52.7,42.5,28.5,35.8,15.3,22.0,37.1,72.6,27.4,62.9
19,2023,MEAC,992,Howard,16,64,103.701,106.914,-3.21361,100.9,105.7,-4.8,52.0,50.6,32.8,34.6,22.8,20.7,33.8,68.4,31.6,66.2
20,2023,B10,991,Illinois,9,64,112.167,95.6864,16.4805,109.0,94.4,14.6,51.6,46.9,33.8,29.6,18.2,18.6,32.3,73.2,26.8,67.7
21,2023,B10,990,Indiana,4,32,114.651,97.2921,17.3586,112.5,95.8,16.7,53.8,47.3,30.1,30.6,16.9,16.3,28.0,72.1,27.9,72.0
22,2023,MAAC,989,Iona,13,64,110.856,99.1448,11.7114,108.8,97.0,11.8,51.8,45.9,29.0,31.2,15.3,20.9,32.0,69.5,30.5,68.0
23,2023,B10,988,Iowa,8,64,120.475,104.873,15.6021,118.9,102.7,16.2,51.9,53.3,32.6,23.4,14.1,18.5,32.2,72.4,27.6,67.8
24,2023,B12,987,Iowa St.,6,64,109.884,91.5493,18.3345,108.2,90.0,18.2,50.7,50.1,27.8,40.0,19.8,25.1,33.9,73.4,26.6,66.1
25,2023,B12,986,Kansas,1,32,114.61,91.4741,23.1356,112.9,91.5,21.4,52.4,47.1,29.8,31.2,17.5,20.2,28.4,71.7,28.3,71.6
26,2023,B12,985,Kansas St.,3,8,112.516,94.2021,18.3143,110.3,93.1,17.2,51.5,47.5,37.0,36.7,20.0,20.7,31.1,70.8,29.2,68.9
27,2023,ASun,984,Kennesaw St.,14,64,106.304,102.661,3.64263,105.0,100.5,4.5,52.9,51.2,36.5,36.2,17.9,19.6,27.5,74.2,25.8,72.5
28,2023,MAC,983,Kent St.,13,64,108.347,96.4498,11.8972,106.1,95.1,11.0,51.3,47.2,32.0,38.8,16.3,22.6,30.9,69.8,30.2,69.1
29,2023,SEC,982,Kentucky,6,32,117.41,99.6115,17.7987,114.7,97.8,16.9,51.2,48.8,32.5,29.9,17.3,16.8,38.7,74.5,25.5,61.3
30,2023,SB,981,Louisiana Lafayette,13,64,112.243,104.042,8.20091,110.8,102.3,8.5,53.0,50.6,37.7,33.8,17.5,18.1,33.8,73.6,26.4,66.2
31,2023,BE,980,Marquette,2,32,119.308,97.4789,21.8296,119.0,96.0,23.0,56.0,51.1,27.1,29.0,15.2,22.8,26.5,67.9,32.1,73.5
32,2023,B10,979,Maryland,8,32,114.136,95.7662,18.3703,111.5,95.0,16.5,51.1,47.9,33.8,27.8,16.2,18.4,30.2,72.8,27.2,69.8
33,2023,Amer,978,Memphis,8,64,114.701,96.0133,18.6881,113.9,94.2,19.7,53.2,46.8,35.9,34.9,18.4,20.9,31.0,67.7,32.3,69.0
34,2023,ACC,977,Miami FL,5,4,118.233,103.319,14.9148,117.3,101.4,15.9,55.0,51.3,30.0,24.1,16.4,18.1,32.0,71.0,29.0,68.0
35,2023,B10,976,Michigan St.,7,16,113.4,96.6898,16.7099,111.6,95.0,16.6,51.6,48.1,25.8,28.6,16.4,14.7,27.4,74.8,25.2,72.6
36,2023,SEC,975,Mississippi St.,11,68,105.451,91.3344,14.1161,102.4,90.8,11.6,46.9,46.2,34.6,27.6,19.3,22.0,35.2,71.0,29.0,64.8
37,2023,SEC,974,Missouri,7,32,119.289,105.37,13.9186,117.5,103.8,13.7,55.1,52.3,29.5,35.2,16.0,24.3,26.8,62.7,37.3,73.2
38,2023,BSky,973,Montana St.,14,64,105.36,99.6121,5.74793,104.1,97.0,7.1,50.9,49.4,44.4,35.5,17.6,20.1,25.7,74.5,25.5,74.3
39,2023,MWC,972,Nevada,11,68,112.039,97.2466,14.7927,108.8,96.7,12.1,50.5,49.0,39.5,31.4,15.2,18.7,22.9,74.9,25.1,77.1
40,2023,ACC,971,North Carolina St.,11,64,113.894,100.589,13.3052,113.0,97.8,15.2,51.8,49.8,25.3,34.0,13.6,19.1,30.7,73.4,26.6,69.3
41,2023,Horz,970,Northern Kentucky,16,64,103.337,102.82,0.516867,101.1,101.1,0.0,49.8,51.3,27.4,30.8,17.5,23.2,31.3,67.2,32.8,68.7
42,2023,B10,969,Northwestern,7,32,108.511,93.6787,14.8321,106.6,91.7,14.9,47.2,48.4,29.7,31.6,14.8,21.7,28.3,72.7,27.3,71.7
43,2023,Sum,968,Oral Roberts,12,64,115.289,102.04,13.2487,111.9,101.2,10.7,56.1,48.5,24.6,22.0,13.2,17.6,24.5,72.6,27.4,75.5
